_id,nameScientist,location,nation,personalWebsite,bestPublication[0],bestPublication[1],bestPublication[2],bestPublication[3],bestPublication[4],bestPublication[5],bestPublication[6],bestPublication[7],bestPublication[8],bestPublication[9],specialized,researchArea[0],researchArea[1],researchArea[2]
655a23489dc8f4db8c3de77b,Anil K. Jain,Michigan State University,United States,,Data clustering: a reviewA. K. Jain;M. N. Murty;P. J. Flynn.\nACM Computing Surveys (1999),Algorithms for clustering dataAnil K. Jain;Richard C. Dubes.\n (1988),Fundamentals of digital image processingAnil K. Jain.\n (1988),Data clustering: 50 years beyond K-meansAnil K. Jain.\ninternational conference on pattern recognition (2010),Statistical pattern recognition: a reviewA.K. Jain;R.P.W. Duin;Jianchang Mao.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (2000),An introduction to biometric recognitionA.K. Jain;A. Ross;S. Prabhakar.\nIEEE Transactions on Circuits and Systems for Video Technology (2004),Handbook of Fingerprint RecognitionDavide Maltoni;Dario Maio;Anil K. Jain;Salil Prabhakar.\n (2005),Artificial neural networks: a tutorialA.K. Jain;Jianchang Mao;K.M. Mohiuddin.\ncomputational science and engineering (1996),Biometrics: Personal Identification in Networked SocietyAnil K. Jain;Ruud Bolle;Sharath Pankanti.\n (2013),Fingerprint image enhancement: algorithm and performance evaluationLin Hong;Yifei Wan;A. Jain.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (1998),Computer Science,Machine learning,Statistics,Computer vision
655a23519dc8f4db8c3de77c,Yoshua Bengio,University of Montreal,Canada,,Deep learningYann LeCun;Yann LeCun;Yoshua Bengio;Geoffrey Hinton;Geoffrey Hinton.\nNature (2015),Gradient-based learning applied to document recognitionY. Lecun;L. Bottou;L. Bottou;Y. Bengio;Y. Bengio;Y. Bengio;P. Haffner.\nProceedings of the IEEE (1998),Generative Adversarial NetsIan Goodfellow;Jean Pouget-Abadie;Mehdi Mirza;Bing Xu.\nneural information processing systems (2014),Deep LearningIan Goodfellow;Yoshua Bengio;Aaron Courville.\n (2016),Neural Machine Translation by Jointly Learning to Align and TranslateDzmitry Bahdanau;Kyunghyun Cho;Yoshua Bengio.\ninternational conference on learning representations (2015),Learning Phrase Representations using RNN Encoder--Decoder for Statistical Machine TranslationKyunghyun Cho;Bart van Merrienboer;Caglar Gulcehre;Dzmitry Bahdanau.\nempirical methods in natural language processing (2014),Understanding the difficulty of training deep feedforward neural networksXavier Glorot;Yoshua Bengio.\ninternational conference on artificial intelligence and statistics (2010),Representation Learning: A Review and New PerspectivesY. Bengio;A. Courville;P. Vincent.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (2013),Learning Deep Architectures for AIYoshua Bengio.\n (2009),Empirical evaluation of gated recurrent neural networks on sequence modelingJunyoung Chung;Çaglar Gülçehre;KyungHyun Cho;Yoshua Bengio;Yoshua Bengio;Yoshua Bengio.\narXiv: Neural and Evolutionary Computing (2014),Computer Science,,,
655a235a9dc8f4db8c3de77d,Jiawei Han,University of Illinois at Urbana-Champaign,United States,,Data Mining: Concepts and TechniquesJiawei Han;Micheline Kamber;Jian Pei.\n (2000),Mining frequent patterns without candidate generationJiawei Han;Jian Pei;Yiwen Yin.\ninternational conference on management of data (2000),Data mining: an overview from a database perspectiveMing-Syan Chen;Jiawei Han;P.S. Yu.\nIEEE Transactions on Knowledge and Data Engineering (1996),Mining Frequent Patterns without Candidate Generation: A Frequent-Pattern Tree ApproachJiawei Han;Jian Pei;Yiwen Yin;Runying Mao.\nData Mining and Knowledge Discovery (2004),"PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growthJian Pei;Jiawei Han;B. Mortazavi-Asl;H. Pinto.\ninternational conference on data engineering (2001)",gSpan: graph-based substructure pattern miningXifeng Yan;Jiawei Han.\ninternational conference on data mining (2002),Efficient and Effective Clustering Methods for Spatial Data MiningRaymond T. Ng;Jiawei Han.\nvery large data bases (1994),A framework for clustering evolving data streamsCharu C. Aggarwal;Jiawei Han;Jianyong Wang;Philip S. Yu.\nvery large data bases (2003),Graph Regularized Nonnegative Matrix Factorization for Data RepresentationDeng Cai;Xiaofei He;Jiawei Han;T S Huang.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (2011),Discovery of Spatial Association Rules in Geographic Information Databases.Koperski K;Han J.\nLecture Notes in Computer Science (1995),Computer Science,,,
655a23649dc8f4db8c3de77e,Michael I. Jordan,"University of California, Berkeley",United States,,Latent dirichlet allocationDavid M. Blei;Andrew Y. Ng;Michael I. Jordan.\nJournal of Machine Learning Research (2003),On Spectral Clustering: Analysis and an algorithmAndrew Y. Ng;Michael I. Jordan;Yair Weiss.\nneural information processing systems (2001),Adaptive mixtures of local expertsRobert A. Jacobs;Michael I. Jordan;Steven J. Nowlan;Geoffrey E. Hinton.\nNeural Computation (1991),"Graphical Models, Exponential Families, and Variational InferenceMartin J. Wainwright;Michael I. Jordan.\n (2008)",Sharing Clusters among Related Groups: Hierarchical Dirichlet ProcessesYee W. Teh;Michael I. Jordan;Matthew J. Beal;David M. Blei.\nneural information processing systems (2004),Trust Region Policy OptimizationJohn Schulman;Sergey Levine;Pieter Abbeel;Michael Jordan.\ninternational conference on machine learning (2015),"Machine learning: Trends, perspectives, and prospectsM. I. Jordan;T. M. Mitchell.\nScience (2015)",Hierarchical mixtures of experts and the EM algorithmMichael I. Jordan;Robert A. Jacobs.\nNeural Computation (1994),An Internal Model for Sensorimotor IntegrationDaniel M. Wolpert;Zoubin Ghahramani;Michael I. Jordan.\nScience (1995),Distance Metric Learning with Application to Clustering with Side-InformationEric P. Xing;Michael I. Jordan;Stuart J Russell;Andrew Y. Ng.\nneural information processing systems (2002),Computer Science,Artificial intelligence,Statistics,Machine learning
655a236d9dc8f4db8c3de77f,Andrew Zisserman,University of Oxford,United Kingdom,,Very Deep Convolutional Networks for Large-Scale Image RecognitionKaren Simonyan;Andrew Zisserman.\ninternational conference on learning representations (2015),Multiple view geometry in computer visionRichard Hartley;Andrew Zisserman.\n (2000),The Pascal Visual Object Classes (VOC) ChallengeMark Everingham;Luc Gool;Christopher K. Williams;John Winn.\nInternational Journal of Computer Vision (2010),Two-Stream Convolutional Networks for Action Recognition in VideosKaren Simonyan;Andrew Zisserman.\nneural information processing systems (2014),The Pascal Visual Object Classes Challenge: A RetrospectiveMark Everingham;S. M. Eslami;Luc Gool;Christopher K. Williams.\nInternational Journal of Computer Vision (2015),Spatial transformer networksMax Jaderberg;Karen Simonyan;Andrew Zisserman;Koray Kavukcuoglu.\nneural information processing systems (2015),Deep face recognitionOmkar M. Parkhi;Andrea Vedaldi;Andrew Zisserman.\nbritish machine vision conference (2015),Multiple View Geometry in Computer Vision (2nd ed)Richard Hartley;Andrew Zisserman.\n (2003),"Quo Vadis, Action Recognition? A New Model and the Kinetics DatasetJoao Carreira;Andrew Zisserman.\ncomputer vision and pattern recognition (2017)",A Comparison of Affine Region DetectorsK. Mikolajczyk;T. Tuytelaars;C. Schmid;A. Zisserman.\nInternational Journal of Computer Vision (2005),Computer Science,Artificial intelligence,Computer vision,Machine learning
655a23779dc8f4db8c3de780,Philip S. Yu,University of Illinois at Chicago,United States,,Top 10 algorithms in data miningXindong Wu;Vipin Kumar;J. Ross Quinlan;Joydeep Ghosh.\nKnowledge and Information Systems (2007),Data mining: an overview from a database perspectiveMing-Syan Chen;Jiawei Han;P.S. Yu.\nIEEE Transactions on Knowledge and Data Engineering (1996),An effective hash-based algorithm for mining association rulesJong Soo Park;Ming-Syan Chen;Philip S. Yu.\ninternational conference on management of data (1995),A framework for clustering evolving data streamsCharu C. Aggarwal;Jiawei Han;Jianyong Wang;Philip S. Yu.\nvery large data bases (2003),A Comprehensive Survey on Graph Neural NetworksZonghan Wu;Shirui Pan;Fengwen Chen;Guodong Long.\nIEEE Transactions on Neural Networks (2021),Privacy-preserving data publishing: A survey of recent developmentsBenjamin C. M. Fung;Ke Wang;Rui Chen;Philip S. Yu.\nACM Computing Surveys (2010),Mining concept-drifting data streams using ensemble classifiersHaixun Wang;Wei Fan;Philip S. Yu;Jiawei Han.\nknowledge discovery and data mining (2003),A holistic lexicon-based approach to opinion miningXiaowen Ding;Bing Liu;Philip S. Yu.\nweb search and data mining (2008),Outlier detection for high dimensional dataCharu C. Aggarwal;Philip S. Yu.\ninternational conference on management of data (2001),PathSim: meta path-based top-K similarity search in heterogeneous information networksYizhou Sun;Jiawei Han;Xifeng Yan;Philip S. Yu.\nvery large data bases (2011),Computer Science,Biochemistry (100.00%),Artificial intelligence (100.00%),Machine learning (66.67%)
655a23809dc8f4db8c3de781,Thomas S. Huang,University of Illinois at Urbana-Champaign,United States,,Image processingT.S. Huang;W.F. Schreiber;O.J. Tretiak.\nProceedings of the IEEE (1971),Image Super-Resolution Via Sparse RepresentationJianchao Yang;John Wright;Thomas S Huang;Yi Ma.\nIEEE Transactions on Image Processing (2010),Least-Squares Fitting of Two 3-D Point SetsK. S. Arun;T. S. Huang;S. D. Blostein.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (1987),Locality-constrained Linear Coding for image classificationJinjun Wang;Jianchao Yang;Kai Yu;Fengjun Lv.\ncomputer vision and pattern recognition (2010),Linear spatial pyramid matching using sparse coding for image classificationJianchao Yang;Kai Yu;Yihong Gong;Thomas Huang.\ncomputer vision and pattern recognition (2009),"A Survey of Affect Recognition Methods: Audio, Visual, and Spontaneous ExpressionsZhihong Zeng;M. Pantic;G.I. Roisman;T.S. Huang.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (2009)",Visual interpretation of hand gestures for human-computer interaction: a reviewV.I. Pavlovic;R. Sharma;T.S. Huang.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (1997),Relevance feedback: a power tool for interactive content-based image retrievalYong Rui;T.S. Huang;M. Ortega;S. Mehrotra.\nIEEE Transactions on Circuits and Systems for Video Technology (1998),Sparse Representation for Computer Vision and Pattern RecognitionJohn Wright;Yi Ma;Julien Mairal;Guillermo Sapiro.\nProceedings of the IEEE (2010),Graph Regularized Nonnegative Matrix Factorization for Data RepresentationDeng Cai;Xiaofei He;Jiawei Han;T S Huang.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (2011),Computer Science,Particle physics (71.43%),Nuclear physics (71.43%),Semiconductor detector (57.14%)
655a23899dc8f4db8c3de782,Takeo Kanade,Carnegie Mellon University,United States,,An iterative image registration technique with an application to stereo visionBruce D. Lucas;Takeo Kanade.\ninternational joint conference on artificial intelligence (1981),Neural network-based face detectionH.A. Rowley;S. Baluja;T. Kanade.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (1998),Shape and motion from image streams under orthography: a factorization methodCarlo Tomasi;Takeo Kanade.\nInternational Journal of Computer Vision (1992),The Extended Cohn-Kanade Dataset (CK+): A complete dataset for action unit and emotion-specified expressionPatrick Lucey;Jeffrey F. Cohn;Takeo Kanade;Jason Saragih.\ncomputer vision and pattern recognition (2010),Comprehensive database for facial expression analysisT. Kanade;J.F. Cohn;Yingli Tian.\nieee international conference on automatic face and gesture recognition (2000),Convolutional Pose MachinesShih-En Wei;Varun Ramakrishna;Takeo Kanade;Yaser Sheikh.\ncomputer vision and pattern recognition (2016),Multi-PIERalph Gross;Iain Matthews;Jeffrey Cohn;Takeo Kanade.\nImage and Vision Computing (2010),Recognizing action units for facial expression analysisY.-I. Tian;T. Kanade;J.F. Cohn.\nIEEE Transactions on Pattern Analysis and Machine Intelligence (2001),A System for Video Surveillance and MonitoringRobert T. Collins;Alan J. Lipton;Takeo Kanade;Hironobu Fujiyoshi.\nVSAM Final Report by Robotics Institute of CMU (2000),A statistical method for 3D object detection applied to faces and carsH. Schneiderman;T. Kanade.\ncomputer vision and pattern recognition (2000),Computer Science,Computer vision,Linear-quadratic-Gaussian control,Kalman filter
655a23929dc8f4db8c3de783,Francisco Herrera,University of Granada,Spain,,A practical tutorial on the use of nonparametric statistical tests as a methodology for comparing evolutionary and swarm intelligence algorithmsJoaquín Derrac;Salvador García;Daniel Molina;Francisco Herrera.\nSwarm and evolutionary computation (2011),A 2-tuple fuzzy linguistic representation model for computing with wordsF. Herrera;L. Martinez.\n (2000),"A Review on Ensembles for the Class Imbalance Problem: Bagging-, Boosting-, and Hybrid-Based ApproachesM. Galar;A. Fernandez;E. Barrenechea;H. Bustince.\nsystems man and cybernetics (2012)","KEEL Data-Mining Software Tool: Data Set Repository, Integration of Algorithms and Experimental Analysis FrameworkJ. Alcalá-Fdez;A. Fernández;J. Luengo;J. Derrac.\nsoft computing (2011)","Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AIAlejandro Barredo Arrieta;Natalia Díaz-Rodríguez;Javier Del Ser;Javier Del Ser;Adrien Bennetot;Adrien Bennetot.\nInformation Fusion (2020)",Linguistic decision analysis: steps for solving decision problems under linguistic informationF. Herrera;E. Herrera-Viedma.\nFuzzy Sets and Systems (2000),Hesitant Fuzzy Linguistic Term Sets for Decision MakingR. M. Rodriguez;L. Martinez;F. Herrera.\n (2012),Advanced nonparametric tests for multiple comparisons in the design of experiments in computational intelligence and data mining: Experimental analysis of powerSalvador García;Alberto Fernández;Julián Luengo;Francisco Herrera.\nInformation Sciences (2010),Tackling Real-Coded Genetic Algorithms: Operators and Tools for Behavioural AnalysisF. Herrera;M. Lozano;J. L. Verdegay.\nArtificial Intelligence Review (1998),A study on the use of non-parametric tests for analyzing the evolutionary algorithms' behaviour: a case study on the CEC'2005 Special Session on Real Parameter OptimizationSalvador García;Daniel Molina;Manuel Lozano;Francisco Herrera.\nJournal of Heuristics (2009),Computer Science,Catalysis (75.00%),Organic chemistry (75.00%),Ammonia production (75.00%)
655a239a9dc8f4db8c3de784,Wil M. P. van der Aalst,RWTH Aachen University,Germany,http://www.padsweb.rwth-aachen.de/wvdaalst/,Workflow PatternsW. M. P. Van Der Aalst;A. H. M. Ter Hofstede;B. Kiepuszewski;A. P. Barros.\n (2003),The application of Petri-nets to workflow managementW.M.P. van der Aalst.\n (1998),Process miningWil Van Der Aalst.\n (2012),"Workflow Management: Models, Methods, and SystemsWil van der Aalst;Kees van Hee.\n (2004)","Workflow Management: Models, Methods, and SystemsWmp Wil van der Aalst;KM Kees van Hee.\n (2001)",Workflow mining: discovering process models from event logsW. van der Aalst;T. Weijters;L. Maruster.\n (2004),Business process management: a surveyWil M. P. Van Der Aalst;Arthur H. M. Ter Hofstede;Mathias Weske.\n (2003),Data Science in ActionWil van der Aalst.\n (2016),Process Mining: Data Science in ActionWil van der Aalst.\n (2016),"Workflow Management: Models, Methods, and SystemsW. Aalst;Kees M. Van Hee.\n (2001)",Computer Science,,,
